City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
173,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
177,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
178,Sao Jose Da Coroa Grande,BR,79.99,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
181,Correntina,BR,87.96,scattered clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
186,Pisco,PE,77.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
190,Guerrero Negro,MX,83.61,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
192,Dingle,PH,76.24,clear sky,10.9995,122.6711,SEGAYA PROPERTY
199,Kavaratti,IN,82.11,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
202,Sambava,MG,78.75,light rain,-14.2667,50.1667,Melrose
203,Jalpan,MX,82.53,clear sky,21.2333,-99.4833,Hotel Mision Jalpan
206,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
209,Hambantota,LK,78.13,clear sky,6.1241,81.1185,Bungalow 63
211,Ciudad Bolivar,VE,90.03,overcast clouds,8.1222,-63.5497,Hotel Edi
212,Porto Walter,BR,77.14,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
216,Deori Khas,IN,81.61,few clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
221,Bengkulu,ID,76.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
225,Yenangyaung,MM,77.86,broken clouds,20.4667,94.8833,Hotel Country
228,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
232,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
235,Alta Floresta,BR,82.22,thunderstorm,-9.8756,-56.0861,Floresta Amazonica Hotel
237,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
240,Joinville,BR,78.1,light rain,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
241,Lorengau,PG,81.28,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Maragogi,BR,79.68,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
243,Acarau,BR,81.46,scattered clouds,-2.8856,-40.12,castelo pizzaria
245,Oranjestad,AW,82.35,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
250,Saint George,US,83.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
252,Axim,GH,82.11,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
261,Vanimo,PG,77.27,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
263,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
266,Morondava,MG,81.55,broken clouds,-20.2833,44.2833,La Case Bambou
270,Ukiah,US,78.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
271,Les Cayes,HT,82.04,overcast clouds,18.2,-73.75,Villa Orphee
272,Roebourne,AU,83.53,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
274,Trincomalee,LK,79.54,clear sky,8.5711,81.2335,Welcombe Hotel
276,Suriapet,IN,79.34,scattered clouds,17.15,79.6167,MNR Lodge and Restaurant
277,Luganville,VU,78.73,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
278,Lompoc,US,79.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
280,Villa Bruzual,VE,91.9,overcast clouds,9.3328,-69.1208,hotel italia
281,Gopalpur,IN,78.42,scattered clouds,19.2667,84.9167,Gopalpur Palm Resort
285,Amalapuram,IN,76.15,scattered clouds,16.5833,82.0167,swayamprabha service apartments
286,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
292,Cayenne,GF,83.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
295,Redlands,US,90.93,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
298,Bontang,ID,76.46,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
299,Pedro Ii,BR,75.67,moderate rain,-4.4247,-41.4586,Opala Hotel
300,Sao Joao Do Piaui,BR,89.62,overcast clouds,-8.3581,-42.2467,Nayra Palace Hotel
302,Ayorou,NE,90.5,scattered clouds,14.7308,0.9174,Hotel Amenokal
309,Bosaso,SO,75.97,clear sky,11.2842,49.1816,Red Sea Hotel
310,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
317,Luwuk,ID,77.76,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
320,Pasni,PK,78.85,clear sky,25.2631,63.471,Kashmiri Hotal
323,Pondicherry,IN,81.27,clear sky,11.93,79.83,Villa Shanti for food lovers
330,Jacareacanga,BR,85.91,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
332,Naliya,IN,77.67,clear sky,23.2667,68.8333,jadeja jayendrasinh
333,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
341,Bonthe,SL,79.16,light rain,7.5264,-12.505,Bonthe Holiday Village
350,Phimai,TH,83.82,few clouds,15.2232,102.4947,Benya Guest House
351,Pauini,BR,80.98,light rain,-7.7136,-66.9764,Casa do Kiwliks
352,Marechal Floriano,BR,77.25,broken clouds,-20.4128,-40.6831,Pousada Recanto Primata
355,Faanui,PF,82.15,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
360,Namatanai,PG,79.25,light rain,-3.6667,152.4333,Seagulls Inn Namatani
362,Yucca Valley,US,84.06,broken clouds,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
363,Rockport,US,82.44,haze,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
373,Belize,BZ,79.12,overcast clouds,17.25,-88.75,Villa San Juan
375,Maceio,BR,83.64,light rain,-9.6658,-35.7353,Hotel Ponta Verde Maceió
376,Ranong,TH,77.83,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
381,Samarai,PG,83.03,overcast clouds,-10.6167,150.6667,Nuli Sapi
383,Tual,ID,80.35,light rain,-5.6667,132.75,Grand Vilia Hotel
386,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
387,Quepos,CR,84.38,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
388,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
390,Nizwa,OM,77.04,clear sky,22.9333,57.5333,Orient Apartments
391,Sakete,BJ,81.95,broken clouds,6.7362,2.6587,IBUKUN OLUWA
392,Saint-Joseph,RE,77.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
395,Saint-Paul,RE,78.91,broken clouds,-21.0096,55.2707,Boucan Canot
397,Lhokseumawe,ID,78.15,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
402,Manggar,ID,79.84,overcast clouds,-2.8833,108.2667,Guest Hotel
404,Isangel,VU,78.4,overcast clouds,-19.55,169.2667,Tanna Lodge
