City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
134,Hay River,60.8156,-115.7999,-9.42,59,20,13.8,CA,2022-03-25 19:34:42,few clouds
135,Pangnirtung,66.1451,-65.7125,8.6,78,75,12.66,CA,2022-03-25 19:34:43,broken clouds
136,Kangayam,11.0,77.5667,79.9,71,8,3.18,IN,2022-03-25 19:34:44,clear sky
137,Hervey Bay,-25.2986,152.8535,68.02,88,6,17.0,AU,2022-03-25 19:34:44,clear sky
138,Flinders,-34.5833,150.8552,64.18,92,73,7.0,AU,2022-03-25 19:30:34,broken clouds
139,Eirunepe,-6.6603,-69.8736,79.66,90,96,1.28,BR,2022-03-25 19:34:45,overcast clouds
140,Iqaluit,63.7506,-68.5145,19.13,85,75,11.5,CA,2022-03-25 19:33:26,light snow
141,Boa Vista,2.8197,-60.6733,93.18,46,75,11.5,BR,2022-03-25 19:32:29,broken clouds
142,Doctor Mora,21.1417,-100.3125,70.05,18,0,12.3,MX,2022-03-25 19:34:47,clear sky
143,Luderitz,-26.6481,15.1594,63.84,74,0,14.74,NA,2022-03-25 19:34:47,clear sky
144,Kirakira,-10.4544,161.9205,79.75,81,55,1.36,SB,2022-03-25 19:34:49,broken clouds
145,Riyadh,24.6877,46.7219,68.14,19,0,8.81,SA,2022-03-25 19:30:48,clear sky
146,Nanortalik,60.1432,-45.2371,29.41,72,55,1.86,GL,2022-03-25 19:34:51,broken clouds
147,Abnub,27.2696,31.1511,59.22,36,0,11.3,EG,2022-03-25 19:32:47,clear sky
148,Ponta Do Sol,32.6667,-17.1,63.01,79,59,2.48,PT,2022-03-25 19:34:19,broken clouds
149,Port Moresby,-9.4431,147.1797,72.82,100,20,5.75,PG,2022-03-25 19:33:00,few clouds
150,Kungurtug,50.5994,97.5228,-6.48,95,67,2.48,RU,2022-03-25 19:34:52,broken clouds
151,Bilma,18.6853,12.9164,76.96,12,0,8.05,NE,2022-03-25 19:34:53,clear sky
152,Necochea,-38.5473,-58.7368,62.26,94,100,23.38,AR,2022-03-25 19:34:53,overcast clouds
153,Nikolskoye,59.7035,30.7861,43.88,89,100,13.27,RU,2022-03-25 19:32:49,overcast clouds
154,Joshimath,30.5667,79.5667,47.68,48,18,8.7,IN,2022-03-25 19:34:54,few clouds
155,San Patricio,28.017,-97.5169,93.29,15,0,3.8,US,2022-03-25 19:31:08,clear sky
156,Svetlaya,46.5389,138.3297,32.34,91,100,4.63,RU,2022-03-25 19:32:21,overcast clouds
157,Leningradskiy,69.3833,178.4167,-7.67,94,100,7.74,RU,2022-03-25 19:34:55,overcast clouds
158,Hithadhoo,-0.6,73.0833,83.37,69,12,15.05,MV,2022-03-25 19:34:56,few clouds
159,Robertsport,6.7533,-11.3686,80.06,86,1,7.16,LR,2022-03-25 19:34:56,light rain
160,Durban,-29.8579,31.0292,69.03,87,91,5.01,ZA,2022-03-25 19:30:07,overcast clouds
161,Upernavik,72.7868,-56.1549,7.72,89,100,19.73,GL,2022-03-25 19:33:46,overcast clouds
162,Sitka,57.0531,-135.33,39.09,81,75,8.05,US,2022-03-25 19:34:59,light rain
163,Esperance,-33.8667,121.9,62.44,70,100,16.46,AU,2022-03-25 19:35:00,overcast clouds
164,Portree,57.4129,-6.1942,48.52,90,60,3.09,GB,2022-03-25 19:35:01,broken clouds
165,Tasiilaq,65.6145,-37.6368,17.76,95,100,7.78,GL,2022-03-25 19:35:02,snow
166,Cam Ranh,11.9214,109.1591,78.76,89,0,0.0,VN,2022-03-25 19:35:03,clear sky
